"Term [en]","Description [en]","Part of Speech [en]"
"Open Web",开放网络,NOUN
Nightshade,夜影,NOUN
chunks,分片段,NOUN
Validator,验证节点,NOUN
"genesis block","genesis block",NOUN
"full virtual machine",图灵完备的虚拟机,NOUN
robustness,鲁棒性,NOUN
volume,吞吐量,NOUN
speed,处理速度,NOUN
"cost transactions",交易成本,NOUN
Usability,可用性,NOUN
"Chunk Producer",出段人,NOUN
fisherman,渔夫,NOUN
Primitives,基元,NOUN
implementation,实现,NOUN
slot,卡槽,NOUN
"License compliance",许可证书一致性,NOUN
"performance overhead",性能开销,NOUN
"dump memory",内存转储,NOUN
"block ordinal",区块序号,NOUN
"Missing Block",丢块,NOUN
"Unknown Block",未知区块,NOUN
"synthetic bench",综合基准测试,NOUN
"attack angle",攻击方式,NOUN
versioning,版本化,NOUN
"routing table",路由表,NOUN
"validator selection algorithm",验证节点选择算法,NOUN
"error propagation",错误传播,NOUN
"contract caching",合约缓存,NOUN
"simulation test",模拟测试,NOUN
"host function",主函数,NOUN
"overflow bug",溢出漏洞,NOUN
"archival data",归档数据,NOUN
"external contributor",外部贡献者,NOUN
"storage attachment",存储附件,NOUN
"transaction-time authorization",交易时间授权,NOUN
receipts,交易回执,NOUN
"Cross-Chain Atomic Swap",跨链原子互换,NOUN
"social graphs",社交图谱,NOUN
"key rotation",秘钥轮换,NOUN
"fair launch",公平启动,NOUN
"base token",基础通证,NOUN
escrow,托管账户,NOUN
post-mortem,事后分析,NOUN
"hidden validator",隐藏的验证节点,NOUN
"synchronous execution",同步执行,NOUN
"private shard",私有分片,NOUN
hackathon,黑客马拉松,NOUN
"application hosting",应用托管,NOUN
"Open Finance",开放金融,NOUN
"account model",账户模型,NOUN
"cross-shard communication",跨分片通信,NOUN
"access keys",授权密钥,NOUN
"staking pool contract",质押池合约,NOUN
bridge,跨链/跨链桥,NOUN
"Non-fungible Token",非同质化通证,NOUN
"layer 2 components",第二层组件,NOUN
"Contract-Based Accounts",基于合约的账户,NOUN
delegation,委托,NOUN
endowment,捐赠基金,NOUN
"Circulating Supply",流通供应量,NOUN
uptime,在线时间,NOUN
guild,公会,NOUN
"private transaction",私密交易,NOUN
precompile,预编译,ADJ
"contract review",合约评审,NOUN
"license compliance testing",证书合规测试,NOUN
DevEx,开发者体验,NOUN
"initial supply",初次发行,NOUN
"convertible note",可兑换票据,NOUN
"New Issuance",通证增发,NOUN
DevOps,开发运维,NOUN
epoch,周期,NOUN
challenge,质疑/挑战,NOUN
backer,支持者,NOUN
